SUID,Indegree,name,Outdegree
275,1,hemant.mca18.du,0
276,0,Aditya Aggarwal ,1
277,1,ruchika.mcs19.du,0
278,1,Susmita Sikdar ,2
279,1,Sanyam Jain ,4
280,0,Ruchika Bhatt ,3
281,24,Jaspreet Singh Dhani ,1
282,1,Aditi Mishra ,5
283,33,Ankush Khanna ,3
284,2,Aashish Mcs ,1
285,0,AXP Human Resources ,1
286,0,ASHWANI VARSHNEY  ,2
287,34,mcs19du,0
288,1,head.cs.du,0
289,22,ASHWANI VARSHNEY ,2
290,5,mcs18du,0
291,0,AJAY kumar ,1
292,0,PINTO Christopher ,2
293,3,Maity  Soumen ,5
294,1,AGRAWAL Saurabh ,1
295,0,,1
296,0,,1
297,0,,1
298,0,,1
299,0,,1
300,0,,1
301,0,,1
302,0,,1
303,84,jaspreet.mcs19.du,0
304,0,,1
